cycleNumber,n_rows,duration_s,max_voltage,min_voltage,mean_voltage,max_temp,mean_temp,max_current,mean_current,std_current,max_power,mean_power,QDischarge_mAh,QCharge_mAh,energy_Wh,Ns_mode,cell_id,is_capacity_test,score,dis_dur_s,frac_flight,anomaly_score,any_anomaly,initial_capacity_mAh,SOH_pct,SOH_pct_smoothed,RUL_cycles,RUL_censored,cell
12,4349,5655392.73539477,4.1999707,2.6261709,3.728807764589561,63.189224,31.51897322878823,2991.468,-3059.0351844722927,4874.633650459964,12.56183295912906,-10.740931621027366,1871.44140232774,1860.20103569998,17250.67765753209,5,VAH01,False,1,4039.9922031741444,0.49896527937456886,1,True,3089.33841095902,93.64301263749849,93.64301263749849,237,True,VAH01
13,4347,5657211.657486247,4.2001281,2.621012,3.726735342696112,63.497601,31.609048037957216,2992.4529,-3060.7362681596505,4875.204539024183,12.554030010748178,-10.747198989257544,1872.74055462294,1860.9219708604,17243.404120467614,5,VAH01,False,1,4039.9922031846363,0.499194847020934,1,True,3089.33841095902,93.64301263749849,93.64301263749849,236,True,VAH01
14,4349,5658987.783575576,4.2000494,2.612663,3.728069432145321,63.719002,31.567399453667512,2993.0442,-3059.754039951713,4876.677908256354,12.557813934366811,-10.740492881718813,1874.44263856066,1860.97765280212,17238.07826667138,5,VAH01,False,1,4039.9922031846218,0.49896527937456886,1,True,3089.33841095902,93.64301263749849,93.64301263749849,235,True,VAH01
15,4357,5660821.9076678185,4.2001677,2.6028965,3.729389029676383,63.766449,31.518364044985084,2993.2412,-3054.39971481524,4873.592342353977,12.56007446140176,-10.72258823747094,1876.5114188387,1864.72480420138,17249.731204448224,5,VAH01,False,1,4039.9922031749156,0.49804911636447097,1,True,3089.33841095902,93.64301263749849,93.64301263749849,234,True,VAH01
16,4328,5662622.521758372,4.2000098,2.5919878,3.729637805152495,64.027374,31.511475197781888,2991.665,-3075.5027362615524,4885.336805688172,12.557354640502767,-10.794110465988876,1878.78058067301,1863.84157478583,17257.96287695712,5,VAH01,False,1,4039.9922031946335,0.5013863216266173,1,True,3089.33841095902,93.64301263749849,93.64301263749849,233,True,VAH01
17,4333,5664461.888258035,4.2000098,2.5870652,3.7290586660743132,64.209244,31.453813685668123,2991.8621,-3073.01072496192,4886.030196782739,12.5597064678144,-10.781950745119731,1879.28051898248,1868.16200688452,17263.651006016156,5,VAH01,False,1,4039.992366841965,0.5008077544426495,1,True,3089.33841095902,93.64301263749849,93.64301263749849,232,True,VAH01
18,4326,5666279.034620732,4.2000098,2.5855293,3.728717932223763,64.090637,31.432909560564028,2993.0439,-3078.7423506287564,4890.353832197369,12.55924470329144,-10.798929911744258,1879.55456684109,1868.6579696719,17267.059409805235,5,VAH01,False,1,4039.9923668518895,0.5016181229773463,1,True,3089.33841095902,93.64301263749849,93.64301263749849,231,True,VAH01
19,4292,5668056.2888061125,4.200089,2.5795827,3.728479627283318,64.549248,31.370588671015845,2992.6501,-3104.986066947344,4905.8783827957495,12.562778533195901,-10.884800394901124,1880.56633621012,1867.89707592495,17267.60999765191,5,VAH01,False,1,4039.9924047511304,0.505591798695247,1,True,3089.33841095902,93.64301263749849,93.64301263749849,230,True,VAH01
20,4279,5669971.6570059005,4.2000494,2.579504,3.7289682497546153,64.652039,31.30759290675391,2993.241,-3115.295493545221,4913.054216617252,12.556985311281641,-10.917266475207308,1880.40182895644,1871.75503848187,17275.065145876793,5,VAH01,False,1,4039.9924214010825,0.5071278336059827,1,True,3089.33841095902,93.64301263749849,93.64301263749849,229,True,VAH01
21,4283,5671772.297193723,4.2000494,2.5735574,3.7284546554284383,64.565056,31.28691048657483,2993.8323,-3113.0987160401587,4913.3222087545655,12.562069616585003,-10.907179252194863,1881.33474611898,1868.85021319454,17279.54289218957,5,VAH01,False,1,4039.9924214008497,0.506654214335746,1,True,3089.33841095902,93.64301263749849,93.64301263749849,228,True,VAH01
22,4270,5673658.9533905145,4.1999707,2.5695405,3.7248184891334897,64.873444,31.350361244496487,2992.2559,-3124.798186711241,4920.887316965232,12.56230345502207,-10.942792354136618,1882.05378724636,1871.05112048992,17281.95331215063,5,VAH01,False,1,4039.9924214008497,0.5081967213114754,1,True,3089.33841095902,93.64301263749849,93.64301263749849,227,True,VAH01
23,4297,5675776.411611379,4.2000098,2.588995,3.726825415708634,64.644127,31.37466881568536,2992.2559,-3103.3787060414243,4911.124225855052,12.5613591253164,-10.870062076033058,1877.86155771186,1874.67474010625,17277.357876676557,5,VAH01,False,1,4039.9924214008497,0.5050034908075401,1,True,3089.33841095902,93.64301263749849,93.64301263749849,226,True,VAH01
24,4277,5677853.395828028,4.2001677,2.6142778,3.7265406965396304,64.169708,31.41081963151742,2992.2561,-3118.0534433904604,4917.5620743564705,12.5660870957269,-10.921520684962609,1871.72588424072,1868.67433258468,17292.504981070582,5,VAH01,False,1,4039.9924214008497,0.5073649754500819,1,True,3089.33841095902,93.64301263749849,93.64301263749849,225,True,VAH01
25,4294,5680038.854055985,4.2000098,2.6229024,3.7256972014904517,64.161797,31.46562700582208,2991.665,-3105.660072390079,4911.272569014538,12.555567894237601,-10.879231951564098,1869.29961808838,1863.41923843483,17298.443453399508,5,VAH01,False,1,4039.9924214010825,0.5053563111318118,1,True,3089.33841095902,93.64301263749849,93.64301263749849,224,True,VAH01
26,4315,5682199.458281356,4.200089,2.632669,3.7250826650521436,63.711094,31.59776593093859,2992.8472,-3089.270348969409,4900.294580468796,12.5588786691012,-10.827413489564929,1866.42595095947,1861.08160236531,17302.688620863537,5,VAH01,False,1,4039.992421401781,0.5028968713789108,1,True,3089.33841095902,93.64301263749849,93.64301263749849,223,True,VAH01
27,4351,5684462.30451739,4.200089,2.632669,3.723728089772466,63.916683,31.662496119972424,2992.2561,-3064.1595126338775,4886.449738270923,12.5588786691012,-10.74044094470282,1866.44704926948,1858.3922625046,17306.829461575755,5,VAH01,False,1,4039.9924214008497,0.49873592277637324,1,True,3089.33841095902,93.64301263749849,93.64301263749849,222,True,VAH01
28,4408,5686629.012743397,4.2000098,2.625344,3.7224372174001816,64.04319,31.74024501383848,2991.8621,-3023.403761696461,4864.389187334703,12.558402682871222,-10.601965443283458,1868.03720578695,1848.49132398042,17311.05003959519,5,VAH01,False,1,4039.9924214008497,0.4922867513611615,1,True,3089.33841095902,93.64301263749849,93.64301263749849,221,True,VAH01
29,4414,5688866.802976816,4.2000494,2.6276281,3.7238380257589485,64.098549,31.801330449025826,2991.665,-3017.4991754220664,4861.00146446068,12.5605338465384,-10.58425674473951,1867.3845302615,1863.87312007216,17311.07298231553,5,VAH01,False,1,4039.9924214008497,0.4916175804259175,1,True,3089.33841095902,93.64301263749849,93.64301263749849,220,True,VAH01
30,4388,5691096.143209352,4.1999311,2.6222723,3.7237081390154967,64.035286,31.82974390428441,2992.2561,-3036.97362611144,4871.256635783708,12.5547405155136,-10.650296777714741,1868.84332081407,1857.1164886205,17325.681489353625,5,VAH01,False,1,4039.9924214010825,0.49453053783044665,1,True,3089.33841095902,93.64301263749849,93.64301263749849,219,True,VAH01
31,4375,5693225.439431455,4.200089,2.6132145,3.723939156342857,64.343666,31.804558927771428,2991.8621,-3045.962216639086,4877.882973727712,12.564077949987599,-10.678980634844981,1871.09519487305,1854.35264916006,17333.368126506324,5,VAH01,False,1,4039.9924214008497,0.496,1,True,3089.33841095902,93.64301263749849,93.64301263749849,218,True,VAH01
32,4371,5695346.7196527235,4.2000098,2.6102214,3.7228704150537637,64.52552,31.75662120178449,2992.6501,-3050.200996060398,4882.479710533068,12.563724358470001,-10.689075598808966,1871.77825693034,1858.92340220125,17337.072442547706,5,VAH01,False,1,4039.9924214110943,0.49645390070921985,1,True,3089.33841095902,93.64301263749849,93.64301263749849,217,True,VAH01
33,4361,5697398.993866793,4.2000098,2.6076617,3.722435174088512,64.920883,31.71373435519376,2992.2561,-3058.3122526782845,4888.3608952980785,12.559468660649411,-10.713920450609413,1872.14148259549,1853.83410845862,17338.39407533487,5,VAH01,False,1,4039.9924214008497,0.49759229534510435,1,True,3089.33841095902,93.64301263749849,93.64301263749849,216,True,VAH01
34,4348,5699359.754071317,4.2000098,2.6054564,3.7213971567617294,64.699486,31.72458651471941,2992.4529,-3068.404863465961,4894.760665318571,12.56348808998364,-10.745832528087558,1872.35738456733,1863.10474925386,17340.02663514804,5,VAH01,False,1,4039.9924214110943,0.4990800367985281,1,True,3089.33841095902,93.64301263749849,93.64301263749849,215,True,VAH01
35,4374,5702043.304351232,4.2000098,2.6196337,3.725292486602652,64.145981,31.654117582533146,2992.2561,-3049.1331990809326,4886.290968173278,12.555567894237601,-10.678124259839155,1869.21485591824,1889.86512918485,17348.832477456388,5,VAH01,False,1,4039.9924214008497,0.4961133973479652,1,True,3089.33841095902,93.64301263749849,93.64301263749849,214,True,VAH01
36,4369,5704693.002627618,4.2000494,2.6215634,3.7227581501029983,64.138077,31.669615057221332,2992.2561,-3054.5207394715035,4890.917231043059,12.5580504503988,-10.691280626516523,1868.53953534234,1857.51780138178,17370.681382294384,5,VAH01,False,1,4039.9924214110943,0.49668116273746854,1,True,3089.33841095902,93.64301263749849,93.64301263749849,213,True,VAH01
37,4379,5707086.762877307,4.2001281,2.6085675,3.7252757020552636,64.786461,31.571261810915733,2991.4678,-3046.773333955241,4887.602870688263,12.55923330964518,-10.664758207240906,1871.27009294542,1844.58847698749,17367.96179567032,5,VAH01,False,1,4039.9924214008497,0.4955469285224937,1,True,3089.33841095902,93.64301263749849,93.64301263749849,212,True,VAH01
38,4366,5709747.645154858,4.2000494,2.6075435,3.7244718875400826,64.454361,31.60604908634906,2991.665,-3058.155449413651,4894.496303557955,12.56076795307893,-10.69939999590694,1871.66040936985,1872.75337273761,17391.030134544286,5,VAH01,False,1,4039.992421401548,0.49702244617498853,1,True,3089.33841095902,93.64301263749849,93.64301263749849,211,True,VAH01
39,4377,5712560.783448285,4.2000098,2.5921061,3.7272730204021016,64.675766,31.56591027507425,2991.8618,-3049.3782209264336,4890.600480964603,12.5547405155136,-10.670372158530462,1874.759614595,1860.22744193623,17399.249187887326,5,VAH01,False,1,4039.992421400093,0.4957733607493717,1,True,3089.33841095902,93.64301263749849,93.64301263749849,210,True,VAH01
40,4364,5714759.013677579,4.2001677,2.5651691,3.725676086503208,65.506004,31.586432520394137,2991.8621,-3059.201193796975,4896.177611032728,12.564551729412502,-10.703177629452975,1879.98654276584,1851.66356393083,17405.23419958875,5,VAH01,False,1,4039.9924214008497,0.49725022914757105,1,True,3089.33841095902,93.64301263749849,93.64301263749849,209,True,VAH01
41,4416,5717317.649944469,4.2001281,2.5722578,3.7247137829483696,65.268791,31.64171502898551,2992.2561,-3023.274189900362,4878.905753923106,12.554030850734398,-10.576825813992848,1878.64185653537,1879.09076387779,17409.32730949906,5,VAH01,False,1,4039.9924214120256,0.4913949275362319,1,True,3089.33841095902,93.64301263749849,93.64301263749849,208,True,VAH01
42,4437,5719863.952210068,4.200089,2.5620186,3.725596834392608,65.316238,31.656829091954027,2993.6353,-3008.1502571354517,4870.012613706071,12.555713207166,-10.526855497509448,1880.41127595703,1868.43003116219,17418.122348599445,5,VAH01,False,1,4039.9924214008497,0.4890691908947487,1,True,3089.33841095902,93.64301263749849,93.64301263749849,207,True,VAH01
43,4403,5722455.7204804085,4.2000098,2.5577261,3.7255591240063595,65.37159,31.60661528412446,2994.8171,-3032.1665246468315,4883.587936971279,12.55828577039523,-10.60788091466397,1881.21464941406,1869.18072285158,17420.70957647352,5,VAH01,False,1,4039.9924214008497,0.492845786963434,1,True,3089.33841095902,93.64301263749849,93.64301263749849,206,True,VAH01
44,4391,5724984.732744211,4.2000098,2.5706038,3.7255714636073787,65.529732,31.64437075199271,2991.665,-3040.4376515868826,4887.025971154725,12.5572239116532,-10.638082137716268,1878.60990698948,1866.80461671758,17432.7333618631,5,VAH01,False,1,4039.9924214008497,0.4941926668184924,1,True,3089.33841095902,93.64301263749849,93.64301263749849,205,True,VAH01
45,4367,5727575.225014415,4.2001281,2.5762353,3.723887345088161,65.347862,31.55932212342569,2992.6499,-3060.489844705748,4900.319233709471,12.557813934366811,-10.698613577591091,1877.48246213189,1868.83329831687,17452.115759753662,5,VAH01,False,1,4039.992421401548,0.49690863292878407,1,True,3089.33841095902,93.64301263749849,93.64301263749849,204,True,VAH01
46,4354,5729867.661253541,4.2000494,2.5642633,3.7231997769407443,65.616707,31.597049818327974,2992.2561,-3069.0019218925127,4905.133838071688,12.5597052078468,-10.728450139619092,1879.40102407959,1855.33896892539,17450.540892129186,5,VAH01,False,1,4039.9924214109196,0.4983922829581994,1,True,3089.33841095902,93.64301263749849,93.64301263749849,203,True,VAH01
47,4345,5732576.199536057,4.200089,2.5790708,3.722003850794016,65.316238,31.589993030609897,2991.468,-3077.293522289298,4912.197619140885,12.557343294373952,-10.750499705948613,1876.42331662896,1883.256885936,17463.672733479747,5,VAH01,False,1,4039.9924214018974,0.4994246260069045,1,True,3089.33841095902,93.64301263749849,93.64301263749849,202,True,VAH01
48,4332,5734928.443781415,4.2000494,2.5515826,3.7216511956140352,65.996246,31.557510379270543,2991.468,-3086.961632063712,4917.52010730388,12.554858237161099,-10.783894796194538,1881.41477899604,1850.62967326336,17479.906121455155,5,VAH01,False,1,4039.992421401548,0.5009233610341643,1,True,3089.33841095902,93.64301263749849,93.64301263749849,201,True,VAH01
49,4330,5737502.410049902,4.200089,2.5528822,3.724032762540416,66.067413,31.523174115011546,2992.4531,-3088.008875897922,4919.0862248036465,12.562069616585003,-10.78656340197192,1881.08221214464,1879.29886954648,17466.947242841983,5,VAH01,False,1,4039.9924214008497,0.5011547344110855,1,True,3089.33841095902,93.64301263749849,93.64301263749849,200,True,VAH01
50,4558,5741173.8204328595,4.2001677,2.6405058,3.7303402557700744,62.872944,31.43163730715226,2992.4529,-2825.812172370996,4884.376304915385,12.554988001347422,-9.905199448658513,1881.08221214464,2935.13368430691,15310.381009316166,5,VAH01,False,1,4039.9924214013154,0.47608600263273365,1,True,3089.33841095902,93.64301263749849,93.64301263749849,199,True,VAH01
51,4334,5742173.6725371545,4.2000494,2.6411753,3.729957242824181,63.046902,31.543611509690813,2992.6501,-3074.05438290263,4881.119264244001,12.55651217002828,-10.782223488562044,1869.88016088569,1861.81481902489,17546.803718391126,5,VAH01,False,1,4039.9924214008497,0.5006922011998154,1,True,3089.33841095902,93.64301263749849,93.64301263749849,198,True,VAH01
52,4335,5744583.760788543,4.200089,2.6319206,3.7269416182237602,63.331554,31.511354148327566,2992.8472,-3076.4052702537488,4887.2548720693285,12.559114004617268,-10.781783881334512,1871.77242508382,1852.91551847916,17553.338268003066,5,VAH01,False,1,4039.992421399802,0.5005767012687428,1,True,3089.33841095902,93.64301263749849,93.64301263749849,197,True,VAH01
53,4360,5747170.207058336,4.2000098,2.6288884,3.727614671582569,63.639931,31.498302608486238,2991.665,-3058.788923385321,4884.916952399249,12.5580504503988,-10.712755872000349,1872.02222236328,1864.85963414286,17540.32219309789,5,VAH01,False,1,4039.992421401781,0.49770642201834864,1,True,3089.33841095902,93.64301263749849,93.64301263749849,196,True,VAH01
54,4334,5749703.011322523,4.2000098,2.6201849,3.7248213700738346,63.639931,31.492842933087218,2991.665,-3080.6675817611904,4899.1003789897995,12.55521369564288,-10.780974642481006,1873.78778175998,1858.69055813076,17546.420280221482,5,VAH01,False,1,4039.9924214008497,0.5006922011998154,1,True,3089.33841095902,93.64301263749849,93.64301263749849,195,True,VAH01
55,4335,5751912.193552956,4.200089,2.6001399,3.7222173466205306,64.52552,31.599579919953865,2992.4531,-3080.8703051056514,4902.509762810936,12.55568478360158,-10.777491579691759,1878.02134562066,1849.42079054955,17538.099680285795,5,VAH01,False,1,4039.9924214008497,0.5005767012687428,1,True,3089.33841095902,93.64301263749849,93.64301263749849,194,True,VAH01
56,4343,5754296.225801633,4.200089,2.6014001,3.7220065638498734,64.63623,31.636926590375317,2991.665,-3076.28656898227,4903.300913466037,12.557222651685601,-10.75605883649474,1877.17837297038,1872.39420507543,17526.398552335042,5,VAH01,False,1,4039.992421421339,0.49965461662445315,1,True,3089.33841095902,93.64301263749849,93.64301263749849,193,True,VAH01
57,4356,5756826.072065521,4.2000098,2.5949414,3.7233870590220386,64.841812,31.621440626033056,2992.6499,-3066.803572092746,4899.078803445739,12.557932341887252,-10.723400882285302,1878.28821130208,1867.02172762863,17538.418123618634,5,VAH01,False,1,4039.9924214008497,0.4981634527089073,1,True,3089.33841095902,93.64301263749849,93.64301263749849,192,True,VAH01
58,4349,5758920.788284014,4.2000494,2.5746994,3.7218303366061165,65.4981,31.594884276155437,2992.0591,-3073.7428415635777,4905.782844977854,12.5605325865708,-10.741463406776365,1882.0286501945,1855.15555995481,17550.32590123247,5,VAH01,False,1,4039.9924214008497,0.49896527937456886,1,True,3089.33841095902,93.64301263749849,93.64301263749849,191,True,VAH01
59,4319,5761096.674510981,4.2000494,2.5671775,3.7220780590645983,65.806473,31.52790971104422,2991.665,-3095.356856171336,4919.80119110612,12.554030010748178,-10.812489252650797,1883.28456309109,1869.46920150278,17547.144292178633,5,VAH01,False,1,4039.9924214008497,0.5024311183144247,1,True,3089.33841095902,93.64301263749849,93.64301263749849,190,True,VAH01
60,4331,5762972.394706626,4.200089,2.5449665,3.7186526808127454,66.573463,31.62810939390441,2991.271,-3088.5809637381667,4917.639638689404,12.555331424961622,-10.78610452413075,1887.4970712519,1861.04214304447,17551.378707245025,5,VAH01,False,1,4039.992421399802,0.5010390210113138,1,True,3089.33841095902,93.64301263749849,93.64301263749849,189,True,VAH01
61,4372,5765052.014923553,4.200089,2.5405557,3.719907895768527,66.613007,31.64344623170174,2992.0588,-3058.7483162991766,4903.079685481531,12.559588343728002,-10.683909797611511,1888.09455030084,1877.24156584738,17545.937117973317,5,VAH01,False,1,4039.9924214008497,0.49634034766697166,1,True,3089.33841095902,93.64301263749849,93.64301263749849,188,True,VAH01
62,4433,5767266.711154567,4.1999707,2.5513856,3.7195981356868932,66.233459,31.726545652154297,2991.2708,-3014.8344659196932,4878.631859155219,12.561594507312687,-10.53608212789978,1885.71319162055,1887.73071416948,17549.62523970871,5,VAH01,False,1,4039.9924214008497,0.48951048951048953,1,True,3089.33841095902,93.64301263749849,93.64301263749849,187,True,VAH01
63,4451,5769860.951425162,4.2000098,2.5639877,3.72234143113907,65.996246,31.732634906987194,2992.2559,-3001.9922295147157,4872.206671816943,12.55864213747069,-10.491910638107814,1882.54902010932,1891.07774680318,17561.443838501087,5,VAH01,False,1,4039.9924214018392,0.48753089193439675,1,True,3089.33841095902,93.64301263749849,93.64301263749849,186,True,VAH01
64,4431,5772414.273691495,4.2000098,2.5468962,3.72156822751072,66.1623,31.693025554051005,2992.0591,-3018.4886820180545,4881.391834643102,12.559468660649411,-10.544636150172344,1885.85262452284,1871.28866466155,17585.443504419414,5,VAH01,False,1,4039.9924214008497,0.48973143759873616,1,True,3089.33841095902,93.64301263749849,93.64301263749849,185,True,VAH01
65,4449,5775007.309961965,4.2000098,2.5410283,3.7216897028770513,66.391602,31.770081198022027,2991.8621,-3005.779480193302,4874.669740417655,12.559468660649411,-10.501358961715493,1886.6189158941,1874.22356632502,17588.946591777556,5,VAH01,False,1,4039.9924214008497,0.4877500561924028,1,True,3089.33841095902,93.64301263749849,93.64301263749849,184,True,VAH01
66,4427,5777619.500234441,4.2001677,2.5400832,3.7199170918906703,66.359978,31.798246815676535,2992.2561,-3022.8993707860855,4886.67961021041,12.56017824825186,-10.554480011778498,1886.70359917101,1875.75866377357,17598.108510475387,5,VAH01,False,1,4039.9924214106286,0.49017393268579174,1,True,3089.33841095902,93.64301263749849,93.64301263749849,183,True,VAH01
67,4400,5780177.57450127,4.1999707,2.5372477,3.721289750477273,66.613007,31.731957938863633,2993.0439,-3041.4854291318184,4896.717996902306,12.563724358470001,-10.618285107547655,1886.90153799262,1873.58362888989,17599.93792557199,5,VAH01,False,1,4039.9924214120256,0.49318181818181817,1,True,3089.33841095902,93.64301263749849,93.64301263749849,182,True,VAH01
68,4392,5782496.136743113,4.2000098,2.5182264,3.719213960200364,67.079521,31.75189339503643,2992.6501,-3047.7272255334697,4902.351994167342,12.5588786691012,-10.636556477649465,1890.23886554606,1867.18360989724,17602.38721889998,5,VAH01,False,1,4039.9924214008497,0.49408014571949,1,True,3089.33841095902,93.64301263749849,93.64301263749849,181,True,VAH01
69,4393,5785121.017016914,4.2000098,2.5233462,3.721371446483041,67.04789,31.70618020555429,2992.0591,-3047.103026815388,4903.566863759508,12.557222651685601,-10.632266527139798,1889.09677186985,1886.24719441405,17605.63895437642,5,VAH01,False,1,4039.9924214008497,0.4939676758479399,1,True,3089.33841095902,93.64301263749849,93.64301263749849,180,True,VAH01
70,4360,5787667.923282572,4.200089,2.5133038,3.7218308413073395,67.269295,31.660291251376147,2992.0591,-3071.853621321101,4917.203243419445,12.557221811707201,-10.714793584804141,1890.73264726807,1876.54986242408,17628.02447827469,5,VAH01,False,1,4039.9924214008497,0.49770642201834864,1,True,3089.33841095902,93.64301263749849,93.64301263749849,179,True,VAH01
71,4370,5790209.507547685,4.2000098,2.5059788,3.721064951006865,67.324638,31.621438196338676,2992.0588,-3065.9896762290614,4916.605437832547,12.5588778291228,-10.690185069702391,1891.89356068631,1877.81517857508,17629.184186541763,5,VAH01,False,1,4039.9924214008497,0.4965675057208238,1,True,3089.33841095902,93.64301263749849,93.64301263749849,178,True,VAH01
72,4378,5792853.023823422,4.2000494,2.5151153,3.718911512357241,67.372086,31.56314932297853,2991.8618,-3062.0447649497487,4916.839659807362,12.5597064678144,-10.671311586041734,1889.95095759413,1880.56601031097,17633.00903963423,5,VAH01,False,1,4039.9924214008497,0.49566011877569666,1,True,3089.33841095902,93.64301263749849,93.64301263749849,177,True,VAH01
73,4391,5795674.144117686,4.2001677,2.5327189,3.719770546504213,66.858124,31.640798030516965,2991.665,-3050.493927378729,4909.320709916637,12.559469920593282,-10.635880936323698,1886.11588262831,1880.87281700122,17635.173212000143,5,VAH01,False,1,4039.9924214008497,0.4941926668184924,1,True,3089.33841095902,93.64301263749849,93.64301263749849,176,True,VAH01
74,4464,5798386.458400607,4.2000098,2.5355544,3.7162389900089607,67.166496,31.837691892249104,2991.271,-2999.788638246192,4879.956093796463,12.560296023790713,-10.464773653175461,1885.40460405192,1873.46313931912,17655.220082853768,5,VAH01,False,1,4039.992421400908,0.4861111111111111,1,True,3089.33841095902,93.64301263749849,93.64301263749849,175,True,VAH01
75,4486,5801342.994708999,4.2001677,2.5405164,3.7137638025412394,67.087425,31.993469612795362,2992.0591,-2985.6030157079804,4872.826434983388,12.553202204328368,-10.415506398942783,1884.15430684272,1876.7425964758,17656.506315301944,5,VAH01,False,1,4039.99242139986,0.48372715113687026,1,True,3089.33841095902,93.64301263749849,93.64301263749849,174,True,VAH01
76,4545,5803463.024930134,4.2000098,2.5033402,3.715968494521452,67.949303,32.08039148888889,2992.4531,-2943.3712649790978,4848.252197918959,12.552732049304462,-10.27710553291698,1890.83595903999,1853.07878932862,17643.76094942153,5,VAH01,False,1,4039.9924214018392,0.47744774477447743,1,True,3089.33841095902,93.64301263749849,93.64301263749849,173,True,VAH01
